"id","name","categ_id/id","type","list_price","default_code","ean13"
"__export__.product_product_445","Baby Bathtub อ่างอาบน้ำเด็กขนาดกลาง สีชมพู","BT","Stockable Product","650.0","BT0226","8859029902268"
"__export__.product_product_175","Baby Bathtub อ่างอาบน้ำเด็กขนาดกลาง สีขาว","BT","Stockable Product","650.0","BT0229",""
"__export__.product_product_282","Baby Bathtub อ่างอาบน้ำเด็ก สีฟ้าใส","BT","Stockable Product","820.0","BT0230","8859029902312"
"__export__.product_product_283","Baby Bath Chair ที่กันลื่น สีเบจ","BT","Stockable Product","320.0","BT0235",""
"__export__.product_product_446","Baby Bath Chair ที่กันลื่น สีขาว","BT","Stockable Product","320.0","BT0239","8859029902398"
"__export__.product_product_299","Fisher Price ขวดนมทรงกลม 4 ออนซ์","product.product_category_all","Stockable Product","75.0","BT1001",""
"__export__.product_product_300","Fisher Price ขวดนมทรงกลม 8 ออนซ์","product.product_category_all","Stockable Product","79.0","BT1002",""
"__export__.product_product_301","Fisher Price ขวดนมทรงถั่ว 4 ออนซ์","product.product_category_all","Stockable Product","75.0","BT1003",""
"__export__.product_product_302","Fisher Price ขวดนมทรงถั่ว 8 ออนซ์","product.product_category_all","Stockable Product","79.0","BT1004",""
"__export__.product_product_303","Fisher Price ขวดนมทรงถั่วแขนจับ 4 ออนซ์","product.product_category_all","Stockable Product","79.0","BT1005",""
"__export__.product_product_304","Fisher Price ขวดนมทรงถั่วแขนจับ 8 ออนซ์","product.product_category_all","Stockable Product","85.0","BT1006",""
"__export__.product_product_305","Disney ขวดนมทรงกระบอก 8 ออนซ์","product.product_category_all","Stockable Product","45.0","BT1007",""
"__export__.product_product_436","Baby Bathtub อ่างอาบน้ำเด็กยกระดับ สีขาว","BT","Stockable Product","490.0","BT2019","8859029902015"
"__export__.product_product_437","Baby Bathtub อ่างอาบน้ำเด็กยกระดับ สีฟ้า ","BT","Stockable Product","490.0","BT2021","8859029902022"
"__export__.product_product_439","Baby Bathtub อ่างอาบน้ำเด็กยกระดับสีฟ้า-ขาว-เหลือง Pack 6","BT","Stockable Product","2940.0","BT20215819P6","8859029902022"
"__export__.product_product_440","Baby Bathtub อ่างอาบน้ำเด็กขอบจับ สีฟ้า","BT","Stockable Product","450.0","BT2031","8859029902039"
"__export__.product_product_442","Baby Bathtub อ่างอาบน้ำเด็กขอบจับ สีฟ้า-ชมพู Pack 6","BT","Stockable Product","2700.0","BT203146P6","8859029902039"
"__export__.product_product_441","Baby Bathtub อ่างอาบน้ำเด็กขอบจับ สีชมพู","BT","Stockable Product","450.0","BT2046","8859029902046"
"__export__.product_product_438","Baby Bathtub อ่างอาบน้ำเด็กยกระดับ สีเหลือง","BT","Stockable Product","490.0","BT2058","8859029920583"
"__export__.product_product_284","Baby Wipe 80 Sheets ผ้าเช็ดทำความสะอาดผิว 80 แผ่น","product.product_category_all","Stockable Product","119.0","BW1801","8859029918016"
"__export__.product_product_316","Baby Wipe 80 Sheets ผ้าเช็ดทำความสะอาดผิว 80 แผ่น Pack 2","product.product_category_all","Stockable Product","119.0","BW1801P2",""
"__export__.product_product_285","Baby Wipe 24 Sheets ผ้าเช็ดทำความสะอาดผิว 24 แผ่น Pack 6","product.product_category_all","Stockable Product","234.0","BW1802P6","8859029918023"
"__export__.product_product_498","ปั๊มนมไฟฟ้า  สีฟ้า","EP","Stockable Product","1990.0","EP9021","8859029990210"
"__export__.product_product_499","ปั๊มนมไฟฟ้า สีเขียว","EP","Stockable Product","1990.0","EP9024","8859029990241"
"__export__.product_product_289","ถ้วยหัดดื่มแขนจับ 2 Handle cup สีฟ้า","product.product_category_all","Stockable Product","69.0","FD1231","8859029912311"
"__export__.product_product_298","ถ้วยหัดดื่มแขนจับ 2 Handle cup สีฟ้า-ส้ม-ชมพู Pack 12","product.product_category_all","Stockable Product","828.0","FD12313536P12",""
